时间,合约代码,合约名称,买/卖,开/平,成交量,成交价,费用
2017-07-04 15:00:00, 601939.XSHG, 建设银行, 买, 开, 200, 6.11, 5.0
2017-07-05 15:00:00, 002415.XSHE, 海康威视, 卖, 平, 300, 30.75, 11.9925
2017-07-05 15:00:00, 601318.XSHG, 中国平安, 卖, 平, 100, 50.42, 7.521
2017-07-05 15:00:00, 601988.XSHG, 中国银行, 买, 开, 1800, 3.68, 5.2992
2017-07-05 15:00:00, 600900.XSHG, 长江电力, 买, 开, 400, 15.19, 5.0
2017-07-06 15:00:00, 000858.XSHE, 五粮液, 卖, 平, 100, 52.99, 7.6495
2017-07-06 15:00:00, 601628.XSHG, 中国人寿, 卖, 平, 300, 27.79, 10.8381
2017-07-07 15:00:00, 600036.XSHG, 招商银行, 买, 开, 200, 23.26, 5.0
2017-07-10 15:00:00, 601939.XSHG, 建设银行, 买, 开, 200, 6.08, 5.0
2017-07-10 15:00:00, 601318.XSHG, 中国平安, 买, 开, 100, 51.13, 5.0
2017-07-11 15:00:00, 601857.XSHG, 中国石油, 买, 开, 400, 7.84, 5.0
2017-07-12 15:00:00, 601857.XSHG, 中国石油, 卖, 平, 300, 7.79, 6.1685
2017-07-13 15:00:00, 600104.XSHG, 上汽集团, 买, 开, 100, 31.2, 5.0
2017-07-14 15:00:00, 600019.XSHG, 宝钢股份, 卖, 平, 100, 7.18, 5.359
2017-07-17 15:00:00, 601166.XSHG, 兴业银行, 买, 开, 400, 18.16, 5.8112
2017-07-24 15:00:00, 600104.XSHG, 上汽集团, 卖, 平, 300, 31.64, 12.3396
2017-07-24 15:00:00, 601939.XSHG, 建设银行, 买, 开, 200, 6.47, 5.0
2017-07-25 15:00:00, 601398.XSHG, 工商银行, 买, 开, 300, 5.48, 5.0
2017-07-27 15:00:00, 601398.XSHG, 工商银行, 卖, 平, 200, 5.53, 5.553
2017-07-28 15:00:00, 600019.XSHG, 宝钢股份, 卖, 平, 1000, 7.12, 9.256
2017-08-01 15:00:00, 601939.XSHG, 建设银行, 卖, 平, 300, 6.8, 6.02
2017-08-02 15:00:00, 000333.XSHE, 美的集团, 买, 开, 200, 40.8, 6.528
2017-08-02 15:00:00, 600018.XSHG, 上港集团, 买, 开, 1200, 6.58, 6.3168
2017-08-03 15:00:00, 600018.XSHG, 上港集团, 卖, 平, 1200, 6.61, 10.3116
2017-08-03 15:00:00, 601939.XSHG, 建设银行, 买, 开, 100, 6.86, 5.0
2017-08-04 15:00:00, 601166.XSHG, 兴业银行, 卖, 平, 400, 17.58, 9.1416
2017-08-04 15:00:00, 601939.XSHG, 建设银行, 卖, 平, 100, 6.86, 5.343
2017-08-07 15:00:00, 600900.XSHG, 长江电力, 卖, 平, 400, 15.02, 8.004
2017-08-07 15:00:00, 601939.XSHG, 建设银行, 卖, 平, 100, 6.84, 5.342
2017-08-07 15:00:00, 601288.XSHG, 农业银行, 买, 开, 1900, 3.73, 5.6696
2017-08-10 15:00:00, 601288.XSHG, 农业银行, 卖, 平, 1900, 3.64, 8.9908
2017-08-10 15:00:00, 601328.XSHG, 交通银行, 买, 开, 1100, 6.28, 5.5264
2017-08-11 15:00:00, 601398.XSHG, 工商银行, 卖, 平, 1300, 5.55, 9.3795
2017-08-11 15:00:00, 601939.XSHG, 建设银行, 卖, 平, 1100, 6.61, 9.4523
2017-08-11 15:00:00, 600016.XSHG, 民生银行, 买, 开, 900, 8.18, 5.8896
2017-08-11 15:00:00, 000002.XSHE, 万科A, 买, 开, 300, 22.02, 5.2848
2017-08-11 15:00:00, 600030.XSHG, 中信证券, 买, 开, 400, 16.87, 5.3984
2017-08-11 15:00:00, 000001.XSHE, 平安银行, 买, 开, 700, 10.02, 5.6112
2017-08-18 15:00:00, 601318.XSHG, 中国平安, 卖, 平, 100, 53.17, 7.6585
2017-08-18 15:00:00, 600104.XSHG, 上汽集团, 买, 开, 200, 29.25, 5.0
2017-08-23 15:00:00, 000333.XSHE, 美的集团, 卖, 平, 200, 40.81, 10.6106
2017-08-23 15:00:00, 601628.XSHG, 中国人寿, 买, 开, 300, 28.09, 6.7416
2017-08-24 15:00:00, 600030.XSHG, 中信证券, 卖, 平, 400, 16.65, 8.658
2017-08-24 15:00:00, 000001.XSHE, 平安银行, 卖, 平, 700, 10.93, 9.9463
2017-08-24 15:00:00, 600900.XSHG, 长江电力, 买, 开, 500, 15.25, 6.1
2017-08-25 15:00:00, 601628.XSHG, 中国人寿, 卖, 平, 300, 29.27, 11.4153
2017-08-25 15:00:00, 600048.XSHG, 保利发展, 买, 开, 800, 10.26, 6.5664
2017-08-25 15:00:00, 002024.XSHE, ST易购, 买, 开, 700, 11.74, 6.5744
2017-08-28 15:00:00, 601857.XSHG, 中国石油, 卖, 平, 1000, 8.2, 10.66
2017-08-28 15:00:00, 600016.XSHG, 民生银行, 卖, 平, 900, 8.45, 9.8865
2017-08-28 15:00:00, 002230.XSHE, 科大讯飞, 买, 开, 100, 57.9, 5.0
2017-08-28 15:00:00, 600703.XSHG, 三安光电, 买, 开, 400, 19.92, 6.3744
2017-08-29 15:00:00, 002024.XSHE, ST易购, 卖, 平, 700, 11.85, 10.7835
2017-08-29 15:00:00, 601398.XSHG, 工商银行, 买, 开, 1800, 6.08, 8.7552
2017-08-31 15:00:00, 600900.XSHG, 长江电力, 卖, 平, 500, 14.98, 9.737
2017-08-31 15:00:00, 601398.XSHG, 工商银行, 卖, 平, 500, 5.9, 6.475
2017-09-01 15:00:00, 600703.XSHG, 三安光电, 卖, 平, 400, 19.37, 10.0724
2017-09-01 15:00:00, 601398.XSHG, 工商银行, 买, 开, 200, 5.79, 5.0
2017-09-01 15:00:00, 601939.XSHG, 建设银行, 买, 开, 1300, 6.85, 7.124
2017-09-04 15:00:00, 600104.XSHG, 上汽集团, 卖, 平, 200, 29.6, 7.96
2017-09-04 15:00:00, 601939.XSHG, 建设银行, 卖, 平, 200, 6.88, 5.688
2017-09-04 15:00:00, 601857.XSHG, 中国石油, 买, 开, 800, 8.1, 5.184
2017-09-05 15:00:00, 601857.XSHG, 中国石油, 买, 开, 300, 8.08, 5.0
2017-09-08 15:00:00, 601857.XSHG, 中国石油, 卖, 平, 200, 8.08, 5.808
2017-09-11 15:00:00, 601857.XSHG, 中国石油, 买, 开, 100, 8.08, 5.0
2017-09-11 15:00:00, 002230.XSHE, 科大讯飞, 卖, 平, 100, 54.73, 7.7365
2017-09-12 15:00:00, 600036.XSHG, 招商银行, 卖, 平, 200, 26.44, 7.644
2017-09-12 15:00:00, 601939.XSHG, 建设银行, 卖, 平, 200, 6.98, 5.698
2017-09-12 15:00:00, 601857.XSHG, 中国石油, 卖, 平, 200, 8.03, 5.803
2017-09-12 15:00:00, 601288.XSHG, 农业银行, 买, 开, 1500, 3.84, 5.0
2017-09-13 15:00:00, 601939.XSHG, 建设银行, 买, 开, 200, 6.96, 5.0
2017-09-13 15:00:00, 601857.XSHG, 中国石油, 买, 开, 100, 8.03, 5.0
2017-09-14 15:00:00, 601328.XSHG, 交通银行, 卖, 平, 1100, 6.37, 9.1091
2017-09-14 15:00:00, 601939.XSHG, 建设银行, 卖, 平, 100, 6.84, 5.342
2017-09-14 15:00:00, 601288.XSHG, 农业银行, 买, 开, 200, 3.79, 5.0
2017-09-14 15:00:00, 601988.XSHG, 中国银行, 卖, 平, 100, 4.12, 5.206
2017-09-15 15:00:00, 601288.XSHG, 农业银行, 买, 开, 100, 3.76, 5.0
2017-09-18 15:00:00, 600028.XSHG, 中国石化, 买, 开, 1100, 5.93, 5.2184
2017-09-19 15:00:00, 601628.XSHG, 中国人寿, 买, 开, 200, 27.79, 5.0
2017-09-20 15:00:00, 601857.XSHG, 中国石油, 买, 开, 100, 7.94, 5.0
2017-09-22 15:00:00, 601939.XSHG, 建设银行, 卖, 平, 1000, 7.0, 9.1
2017-09-22 15:00:00, 601668.XSHG, 中国建筑, 买, 开, 700, 9.62, 5.3872
2017-09-25 15:00:00, 601988.XSHG, 中国银行, 卖, 平, 1700, 4.23, 9.3483
2017-09-25 15:00:00, 600028.XSHG, 中国石化, 卖, 平, 1100, 5.93, 8.4799
2017-09-25 15:00:00, 002415.XSHE, 海康威视, 买, 开, 200, 31.88, 5.1008
2017-09-26 15:00:00, 600048.XSHG, 保利发展, 卖, 平, 800, 10.65, 11.076
2017-09-26 15:00:00, 601398.XSHG, 工商银行, 卖, 平, 200, 6.07, 5.607
2017-09-26 15:00:00, 601288.XSHG, 农业银行, 买, 开, 200, 3.85, 5.0
2017-09-26 15:00:00, 601988.XSHG, 中国银行, 买, 开, 1800, 4.2, 6.048
2017-09-27 15:00:00, 601628.XSHG, 中国人寿, 卖, 平, 200, 27.85, 7.785
2017-09-27 15:00:00, 601988.XSHG, 中国银行, 卖, 平, 1800, 4.15, 9.711
2017-09-27 15:00:00, 601988.XSHG, 中国银行, 买, 开, 1700, 4.15, 5.644
