时间,合约代码,合约名称,最新价,多/空,仓位,开仓均价,市值,累计盈亏,保证金,费用
2017-01-09 15:30:00, 601186.XSHG, 中国铁建, 12.1, --, 400, 12.0, 4840.0, 40.0, --, 0
2017-01-09 15:30:00, 002252.XSHE, 上海莱士, 22.51, --, 300, 23.1233, 6753.0, -184.0, --, 0
2017-01-09 15:30:00, 601669.XSHG, 中国电建, 7.25, --, 900, 7.21, 6525.0, 36.0, --, 0
2017-01-10 15:30:00, 601939.XSHG, 建设银行, 5.47, --, 1100, 5.4614, 6017.0, 9.4286, --, 5.8205
2017-01-10 15:30:00, 601318.XSHG, 中国平安, 35.23, --, 200, 35.43, 7046.0, -40.0, --, 0
2017-01-10 15:30:00, 601800.XSHG, 中国交建, 15.31, --, 300, 15.29, 4593.0, 6.0, --, 0
2017-01-10 15:30:00, 000002.XSHE, 万科A, 20.58, --, 200, 20.73, 4116.0, -30.0, --, 0
2017-01-10 15:30:00, 601186.XSHG, 中国铁建, 11.86, --, 400, 12.0, 4744.0, -56.0, --, 0
2017-01-10 15:30:00, 002252.XSHE, 上海莱士, 22.72, --, 300, 23.1233, 6816.0, -121.0, --, 0
2017-01-10 15:30:00, 601669.XSHG, 中国电建, 7.11, --, 900, 7.21, 6399.0, -90.0, --, 0
2017-01-10 15:30:00, 601398.XSHG, 工商银行, 4.46, --, 1300, 4.46, 5798.0, 0, --, 5.0
2017-01-10 15:30:00, 601857.XSHG, 中国石油, 8.4, --, 700, 8.4, 5880.0, 0, --, 5.0
2017-01-11 15:30:00, 601939.XSHG, 建设银行, 5.47, --, 1100, 5.4614, 6017.0, 9.4286, --, 0
2017-01-11 15:30:00, 601318.XSHG, 中国平安, 35.23, --, 200, 35.43, 7046.0, -40.0, --, 0
2017-01-11 15:30:00, 601800.XSHG, 中国交建, 15.43, --, 300, 15.29, 4629.0, 42.0, --, 0
2017-01-11 15:30:00, 000002.XSHE, 万科A, 20.4, --, 200, 20.73, 4080.0, -66.0, --, 0
2017-01-11 15:30:00, 601186.XSHG, 中国铁建, 11.78, --, 400, 12.0, 4712.0, -88.0, --, 0
2017-01-11 15:30:00, 002252.XSHE, 上海莱士, 22.61, --, 300, 23.1233, 6783.0, -154.0, --, 0
2017-01-11 15:30:00, 601398.XSHG, 工商银行, 4.47, --, 1300, 4.46, 5811.0, 13.0, --, 0
2017-01-11 15:30:00, 601857.XSHG, 中国石油, 8.31, --, 800, 8.3887, 6648.0, -63.0, --, 5.0
2017-01-11 15:30:00, 601288.XSHG, 农业银行, 3.12, --, 2200, 3.12, 6864.0, 0, --, 5.4912
2017-01-12 15:30:00, 601939.XSHG, 建设银行, 5.49, --, 1100, 5.4614, 6039.0, 31.4286, --, 0
2017-01-12 15:30:00, 601800.XSHG, 中国交建, 15.41, --, 300, 15.29, 4623.0, 36.0, --, 0
2017-01-12 15:30:00, 000002.XSHE, 万科A, 20.4, --, 200, 20.73, 4080.0, -66.0, --, 0
2017-01-12 15:30:00, 002252.XSHE, 上海莱士, 22.58, --, 300, 23.1233, 6774.0, -163.0, --, 0
2017-01-12 15:30:00, 601398.XSHG, 工商银行, 4.47, --, 1300, 4.46, 5811.0, 13.0, --, 0
2017-01-12 15:30:00, 601857.XSHG, 中国石油, 8.32, --, 800, 8.3887, 6656.0, -55.0, --, 0
2017-01-12 15:30:00, 601288.XSHG, 农业银行, 3.12, --, 2000, 3.12, 6240.0, 0, --, 5.312
2017-01-12 15:30:00, 600028.XSHG, 中国石化, 5.83, --, 1000, 5.83, 5830.0, 0, --, 5.0
2017-01-13 15:30:00, 601939.XSHG, 建设银行, 5.54, --, 1100, 5.4614, 6094.0, 86.4286, --, 0
2017-01-13 15:30:00, 601800.XSHG, 中国交建, 15.43, --, 300, 15.29, 4629.0, 42.0, --, 0
2017-01-13 15:30:00, 002252.XSHE, 上海莱士, 22.55, --, 300, 23.1233, 6765.0, -172.0, --, 0
2017-01-13 15:30:00, 601398.XSHG, 工商银行, 4.49, --, 1300, 4.46, 5837.0, 39.0, --, 0
2017-01-13 15:30:00, 601857.XSHG, 中国石油, 8.39, --, 700, 8.3887, 5873.0, 0.875, --, 5.4195
