股票代码,股票名称,日期,K,D,J
600221,海航控股,2026-03-04,15.11,24.02,-2.7
600222,太龙药业,2026-03-04,49.13,57.86,31.66
600223,福瑞达,2026-03-04,8.85,16.52,-6.49
600226,亨通股份,2026-03-04,20.4,27.25,6.7
600227,赤天化,2026-03-04,77.45,74.49,83.37
600229,城市传媒,2026-03-04,7.46,14.67,-6.96
600230,沧州大化,2026-03-04,71.11,72.71,67.92
600231,凌钢股份,2026-03-04,47.77,52.38,38.54
600232,金鹰股份,2026-03-04,13.46,17.17,6.02
600233,圆通速递,2026-03-04,63.48,64.75,60.96
600234,科新发展,2026-03-04,19.54,22.89,12.86
600235,民丰特纸,2026-03-04,31.89,51.17,-6.66
600236,桂冠电力,2026-03-04,79.7,66.04,107.02
600237,铜峰电子,2026-03-04,59.32,67.84,42.29
600239,云南城投,2026-03-04,21.32,35.1,-6.23
600241,时代万恒,2026-03-04,24.01,41.45,-10.86
600246,万通发展,2026-03-04,29.15,39.19,9.07
600248,陕建股份,2026-03-04,57.81,62.57,48.27
600249,两面针,2026-03-04,17.09,30.07,-8.87
600250,南京商旅,2026-03-04,21.28,31.31,1.21
600251,冠农股份,2026-03-04,67.72,64.6,73.95
600252,中恒集团,2026-03-04,29.17,42.82,1.88
600255,鑫科材料,2026-03-04,37.53,53.84,4.92
600256,广汇能源,2026-03-04,85.02,78.19,98.68
600257,大湖股份,2026-03-04,20.72,32.08,-1.99
600258,首旅酒店,2026-03-04,49.36,43.72,60.64
600259,中稀有色,2026-03-04,71.03,78.7,55.7
600261,阳光照明,2026-03-04,36.68,47.66,14.72
600262,北方股份,2026-03-04,34.12,53.35,-4.33
600266,城建发展,2026-03-04,9.32,12.94,2.08
